wallNW;wallN;wallN;wallN;wallN;wallN;wallN;wallN;wallN;wallNE
wallW;;;;;;;;;wallE
wallW;;wall;;wall;;wall;wall;;wallE
wallW;;wall;;;;;;;wallE
wallW;;;;wall;wall;wall;wall;;wallE
wallW;;wall;;;;;;;wallE
wallW;;wall;;wall;;wall;;wall;wallE
wallW;;wall;;wall;;wall;;;wallE
wallW;;;;wall;;;;;wallE
wallSW;wallS;wallS;wallS;wallS;wallS;wallS;wallS;wallS;wallSE
floor;floor;floor;floor;floor;floor;floor;floor;floor;floor
floor;floor;floor;floor;floor;floor;floor;floor;floor;floor
floor;floor;floor;floor;floor;floor;floor;floor;floor;floor
floor;floor;floor;floor;floor;floor;floor;floor;floor;floor
floor;floor;floor;floor;floor;floor;floor;floor;floor;floor
floor;floor;floor;floor;floor;floor;floor;floor;floor;floor
floor;floor;floor;floor;floor;floor;floor;floor;floor;floor
floor;floor;floor;floor;floor;floor;floor;floor;floor;floor
floor;floor;floor;floor;floor;floor;floor;floor;floor;floor
floor;floor;floor;floor;floor;floor;floor;floor;floor;floor
;;;;;;;;;
;;puddle;;button;;;;;
;;;;;;;;button;
;;;;;;;;;
;;button;;;;;;;
;;;;gate;;;;;
;;;;;;;;;
;;;;;;;;;
;;button;;;;;;;
;;;;;;;;;
